team,played,wins,draws,losses,elo,L5_1,L5_2,L5_3,L5_4,L5_5,next_opponent,next_date,opp_elo,elo_diff
Arsenal,125,82,27,16,1629.99,-1.42,10.60,5.03,6.84,4.95,Tottenham,,1511.96,118.03
Manchester City,125,84,21,20,1618.07,13.36,8.99,-8.46,7.49,7.35,Newcastle United,,1513.74,104.33
Liverpool,125,74,29,22,1573.20,-13.36,9.84,-8.56,-11.06,-7.94,Nottingham Forest,,1465.75,107.45
Chelsea,125,55,31,39,1568.19,7.04,9.02,-10.23,15.94,7.93,Burnley,,1453.93,114.26
Aston Villa,125,62,27,36,1551.68,16.50,-9.84,8.46,8.93,4.95,Leeds,,1456.44,95.24
Crystal Palace,125,41,41,43,1543.34,-2.40,10.45,-5.03,-2.11,-7.53,Wolverhampton Wanderers,,1402.97,140.37
Brighton,125,50,37,38,1533.50,2.40,12.03,-12.27,7.16,-0.70,Brentford,,1520.92,12.58
Brentford,125,46,32,47,1520.92,12.02,-10.45,8.56,13.20,-7.35,Brighton,,1533.50,-12.58
Sunderland,11,5,4,2,1520.28,1.42,-3.08,10.23,8.17,-11.83,Fulham,,1472.52,47.76
Bournemouth,125,44,29,52,1517.16,-16.51,-8.99,8.08,2.11,9.16,West Ham,,1447.62,69.54
Newcastle United,125,60,29,36,1513.74,-12.01,-14.71,5.45,-7.17,8.55,Manchester City,,1618.07,-104.33
Tottenham,125,54,20,51,1511.96,-2.12,-9.02,18.74,-8.93,8.66,Arsenal,,1629.99,-118.03
Manchester United,125,57,24,44,1509.87,2.11,0.19,12.28,11.06,11.84,Everton,,1500.63,9.24
Everton,125,36,39,50,1500.63,11.05,3.08,-18.74,-7.49,7.53,Manchester United,,1509.87,-9.24
Fulham,125,46,26,53,1472.52,-11.06,11.44,-5.45,-6.84,-9.16,Sunderland,,1520.28,-47.76
Nottingham Forest,125,39,31,55,1465.75,11.92,-0.19,-8.08,-15.93,-8.55,Liverpool,,1573.20,-107.45
Leeds,49,10,12,27,1456.44,-11.92,-12.04,5.78,-12.01,-8.65,Aston Villa,,1551.68,-95.24
Burnley,49,8,10,31,1453.93,-7.69,-10.60,8.78,12.01,-4.95,Chelsea,,1568.19,-114.26
West Ham,125,39,28,58,1447.62,7.68,14.71,-5.78,-13.20,-4.95,Bournemouth,,1517.16,-69.54
Wolverhampton Wanderers,125,36,23,66,1402.97,-7.03,-11.43,-8.78,-8.18,0.70,Crystal Palace,,1543.34,-140.37
